feature,coefficient,abs_coefficient
jobrole_Research Director,-1.0341457932091735,1.0341457932091735
jobrole_Laboratory Technician,1.0302624282487132,1.0302624282487132
overtime_No,-0.9287956478203592,0.9287956478203592
businesstravel_Non-Travel,-0.916351082624125,0.916351082624125
overtime_Yes,0.9161216253704625,0.9161216253704625
businesstravel_Travel_Frequently,0.8981074359267189,0.8981074359267189
jobrole_Sales Representative,0.8802798718900657,0.8802798718900657
educationfield_Other,-0.7151202927375575,0.7151202927375575
educationfield_Human Resources,0.5997132435501223,0.5997132435501223
jobrole_Healthcare Representative,-0.5793184830920064,0.5793184830920064
yearssincelastpromotion,0.5355763013527381,0.5355763013527381
totalworkingyears,-0.5203622610704359,0.5203622610704359
numcompaniesworked,0.48340590574078535,0.48340590574078535
maritalstatus_Single,0.4755092593080612,0.4755092593080612
environmentsatisfaction,-0.4716573355854271,0.4716573355854271
jobsatisfaction,-0.4125179190334262,0.4125179190334262
educationfield_Technical Degree,0.4099570839095122,0.4099570839095122
age,-0.40828594243144567,0.40828594243144567
yearswithcurrmanager,-0.3918079121912696,0.3918079121912696
distancefromhome,0.38304434699650247,0.38304434699650247
jobinvolvement,-0.35778913623415226,0.35778913623415226
jobrole_Manufacturing Director,-0.34710665893556675,0.34710665893556675
yearsincurrentrole,-0.3450777856584784,0.3450777856584784
jobrole_Human Resources,0.3273557748900475,0.3273557748900475
department_Research & Development,-0.30219164182810804,0.30219164182810804
department_Sales,0.30136535835338657,0.30136535835338657
worklifebalance,-0.3002524511964085,0.3002524511964085
maritalstatus_Divorced,-0.2976110791764989,0.2976110791764989
stockoptionlevel,-0.2936482048802442,0.2936482048802442
educationfield_Medical,-0.289228892407295,0.289228892407295
relationshipsatisfaction,-0.28613663867084366,0.28613663867084366
joblevel,0.2236714557753073,0.2236714557753073
jobrole_Research Scientist,-0.19411419056100426,0.19411419056100426
maritalstatus_Married,-0.19057220258146723,0.19057220258146723
trainingtimeslastyear,-0.18511553586460916,0.18511553586460916
dailyrate,-0.17732294461595233,0.17732294461595233
gender_Female,-0.16388809305722213,0.16388809305722213
yearsatcompany,0.15858673491452197,0.15858673491452197
gender_Male,0.1512140706073257,0.1512140706073257
monthlyincome,-0.13873765358776208,0.13873765358776208
percentsalaryhike,-0.1214028888108554,0.1214028888108554
educationfield_Life Sciences,-0.10903005701690847,0.10903005701690847
educationfield_Marketing,0.09103489225222802,0.09103489225222802
performancerating,0.0830843353502971,0.0830843353502971
jobrole_Sales Executive,-0.052635813853597786,0.052635813853597786
jobrole_Manager,-0.0432511578273834,0.0432511578273834
monthlyrate,0.014195887389386161,0.014195887389386161
department_Human Resources,-0.011847738975180332,0.011847738975180332
education,0.010078571841653505,0.010078571841653505
hourlyrate,-0.00821658301374571,0.00821658301374571
businesstravel_Travel_Rarely,0.005569624247509095,0.005569624247509095
