employeenumber;department;jobrole;age;monthlyincome;yearsatcompany;overtime;jobsatisfaction;worklifebalance;flag_turnover;prob_turnover;classificacao_risco_modelo
622;Research & Development;Laboratory Technician;26;2340;1;Yes;4;1;1;0.9780186413046034;Alto risco
478;Sales;Sales Representative;21;2174;3;Yes;2;3;1;0.9757340886812255;Alto risco
1494;Research & Development;Laboratory Technician;24;3172;0;Yes;1;2;1;0.972465009543785;Alto risco
1273;Sales;Sales Representative;25;1118;1;Yes;4;3;1;0.9671538568762715;Alto risco
614;Sales;Sales Representative;18;1878;0;Yes;2;3;1;0.9463818876448897;Alto risco
1487;Sales;Sales Executive;29;5765;5;No;2;1;1;0.9419142140083601;Alto risco
911;Research & Development;Laboratory Technician;32;2795;1;Yes;4;1;1;0.9387914943630975;Alto risco
1108;Research & Development;Research Scientist;33;2313;2;Yes;2;3;1;0.9214987442736043;Alto risco
19;Research & Development;Laboratory Technician;28;2028;4;Yes;3;3;1;0.9133947777204483;Alto risco
1279;Research & Development;Laboratory Technician;21;2625;2;No;3;1;1;0.9107106163446572;Alto risco
1968;Sales;Sales Executive;53;10448;2;Yes;1;2;1;0.9066735299939362;Alto risco
167;Sales;Sales Representative;19;1675;0;Yes;3;2;1;0.9061419491181978;Alto risco
1758;Sales;Sales Executive;33;8564;0;Yes;1;2;1;0.9001565100927006;Alto risco
1862;Sales;Sales Executive;32;9907;2;Yes;2;2;1;0.8981471048605033;Alto risco
590;Human Resources;Human Resources;34;9950;3;Yes;1;3;1;0.8887076549314485;Alto risco
1504;Research & Development;Laboratory Technician;28;2561;0;No;1;2;1;0.8850516562429057;Alto risco
959;Sales;Sales Representative;19;2121;1;Yes;2;4;1;0.8829944114846855;Alto risco
1944;Human Resources;Human Resources;27;2863;1;No;2;3;1;0.8778151168193904;Alto risco
1844;Human Resources;Human Resources;29;2335;2;Yes;1;3;1;0.8681478037111044;Alto risco
1649;Research & Development;Laboratory Technician;40;2166;4;Yes;1;1;1;0.8676576807539854;Alto risco
55;Research & Development;Laboratory Technician;26;2293;1;No;3;2;1;0.8656085170035692;Alto risco
235;Sales;Sales Representative;19;2325;0;No;1;4;1;0.8649656537346919;Alto risco
1464;Research & Development;Laboratory Technician;31;3722;2;Yes;4;1;1;0.8588882023401521;Alto risco
1053;Research & Development;Research Scientist;26;2042;3;Yes;1;3;1;0.8588723351924527;Alto risco
1439;Sales;Sales Representative;25;4400;3;No;1;3;1;0.8562224119322711;Alto risco
33;Research & Development;Research Scientist;32;3919;10;Yes;1;3;1;0.8552540689637886;Alto risco
1624;Sales;Sales Representative;18;1569;0;Yes;4;4;1;0.852363901104731;Alto risco
960;Research & Development;Laboratory Technician;20;2973;1;No;1;3;1;0.8358121020418969;Alto risco
1868;Research & Development;Research Scientist;29;2439;1;Yes;4;2;1;0.8348495661511924;Alto risco
514;Research & Development;Research Scientist;30;2285;1;Yes;4;3;1;0.8243248891038176;Alto risco
702;Research & Development;Research Scientist;33;3348;10;Yes;1;3;1;0.820961061703938;Alto risco
299;Sales;Sales Executive;30;6696;6;No;1;2;1;0.8174223493400199;Alto risco
175;Sales;Sales Executive;31;4559;2;Yes;3;3;1;0.7998731104939636;Alto risco
163;Sales;Sales Executive;31;6172;7;Yes;3;2;1;0.7969298355511718;Alto risco
1167;Sales;Sales Executive;42;13758;21;Yes;1;2;1;0.7956814893084428;Alto risco
554;Sales;Sales Representative;24;3202;5;Yes;2;3;1;0.7940051484803473;Alto risco
1077;Sales;Sales Representative;20;2323;2;Yes;4;3;1;0.7898771750434522;Alto risco
1928;Sales;Sales Representative;29;1091;1;No;1;3;1;0.7893338693938824;Alto risco
1318;Sales;Sales Executive;40;9094;5;Yes;2;3;1;0.7855567972123372;Alto risco
1427;Sales;Sales Representative;31;1359;1;No;3;3;1;0.7814011324592505;Alto risco
147;Research & Development;Laboratory Technician;34;6074;9;Yes;3;3;1;0.780739356891561;Alto risco
1331;Sales;Sales Representative;31;2302;3;Yes;2;4;1;0.7758231842991387;Alto risco
64;Research & Development;Laboratory Technician;48;5381;1;Yes;3;3;1;0.7697910787898774;Alto risco
1319;Sales;Sales Executive;52;8446;8;Yes;2;2;1;0.7645627325389768;Alto risco
1780;Sales;Sales Representative;21;2679;1;No;2;3;1;0.7635639851733963;Alto risco
137;Research & Development;Laboratory Technician;20;2926;1;Yes;4;3;1;0.7630764020260826;Alto risco
1198;Research & Development;Laboratory Technician;20;3033;2;No;3;2;0;0.75955123519973;Alto risco
952;Sales;Sales Representative;25;2413;1;Yes;2;3;1;0.7559386621100544;Alto risco
1420;Research & Development;Laboratory Technician;49;4284;4;No;1;3;1;0.7545131420966797;Alto risco
1157;Sales;Sales Executive;33;8224;5;Yes;1;3;1;0.7523848340865544;Alto risco
2021;Sales;Sales Representative;21;2380;2;Yes;1;3;0;0.7486522672148204;Alto risco
720;Sales;Sales Executive;24;4577;2;No;3;3;1;0.746062970228951;Alto risco
65;Research & Development;Laboratory Technician;28;3441;2;Yes;3;2;1;0.744062604364074;Alto risco
1752;Sales;Sales Representative;29;2760;2;No;2;3;1;0.7407638059632556;Alto risco
1019;Research & Development;Laboratory Technician;22;2451;4;No;1;2;0;0.7367221937893954;Alto risco
1645;Sales;Sales Executive;35;5440;2;Yes;4;2;1;0.7351123869453083;Alto risco
72;Sales;Sales Executive;26;4157;2;Yes;4;2;0;0.731838405362048;Alto risco
2023;Sales;Sales Representative;23;1790;1;No;1;2;1;0.7312323445903104;Alto risco
1;Sales;Sales Executive;41;5993;6;Yes;4;1;1;0.7243999205113377;Alto risco
1037;Sales;Sales Executive;26;4969;2;No;1;3;1;0.7178851352241331;Alto risco
1767;Research & Development;Research Scientist;43;2437;1;Yes;3;3;1;0.7008437539305173;Alto risco
485;Sales;Sales Representative;33;2851;1;Yes;3;3;1;0.6970626549749102;Alto risco
